id,B2_2020-10-01,B3_2020-10-01,B4_2020-10-01,B8_2020-10-01,B8A_2020-10-01,B11_2020-10-01,B12_2020-10-01,B2_2020-11-01,B3_2020-11-01,B4_2020-11-01,B8_2020-11-01,B8A_2020-11-01,B11_2020-11-01,B12_2020-11-01,B2_2020-12-01,B3_2020-12-01,B4_2020-12-01,B8_2020-12-01,B8A_2020-12-01,B11_2020-12-01,B12_2020-12-01,B2_2021-01-01,B3_2021-01-01,B4_2021-01-01,B8_2021-01-01,B8A_2021-01-01,B11_2021-01-01,B12_2021-01-01,B2_2021-02-20,B3_2021-02-20,B4_2021-02-20,B8_2021-02-20,B8A_2021-02-20,B11_2021-02-20,B12_2021-02-20,B2_2021-03-17,B3_2021-03-17,B4_2021-03-17,B8_2021-03-17,B8A_2021-03-17,B11_2021-03-17,B12_2021-03-17
5379,0.1147999987006187,0.13680000603199,0.1785999983549118,0.2448000013828277,0.25450000166893,0.3971999883651733,0.3165000081062317,0.1115999966859817,0.1381999999284744,0.1736000031232834,0.2495999932289123,0.2685999870300293,0.4072999954223633,0.340499997138977,0.1181000024080276,0.1476999968290329,0.1903000026941299,0.2653999924659729,0.2767499983310699,0.4213500022888183,0.3502500057220459,0.0728000029921531,0.1033999994397163,0.1120000034570694,0.2883999943733215,0.3068999946117401,0.330700010061264,0.2465000003576278,0.0269499998539686,0.0438000001013278,0.0269000008702278,0.3867999911308288,0.400050014257431,0.1644999980926513,0.0759499967098236,0.0251000002026557,0.050000000745058,0.0291000008583068,0.3499999940395355,0.3659000098705292,0.1611000001430511,0.0754000023007392
5380,0.1143999993801117,0.1371999979019165,0.1777999997138977,0.2486000061035156,0.25450000166893,0.3971999883651733,0.3165000081062317,0.1146000027656555,0.1376000046730041,0.1731999963521957,0.2540000081062317,0.2685999870300293,0.4072999954223633,0.340499997138977,0.1184000000357627,0.1469999998807907,0.1914999932050705,0.2640999853610992,0.2767499983310699,0.4213500022888183,0.3502500057220459,0.0731000006198883,0.1030000001192092,0.1099999994039535,0.2897999882698059,0.3068999946117401,0.330700010061264,0.2465000003576278,0.0247499998658895,0.0430000014603138,0.0271000005304813,0.389299988746643,0.400050014257431,0.1644999980926513,0.0759499967098236,0.026300000026822,0.0467000007629394,0.0265999995172023,0.3504000008106231,0.3659000098705292,0.1611000001430511,0.0754000023007392
5381,0.1133999973535537,0.1356000006198883,0.1777999997138977,0.2492000013589859,0.2567999958992004,0.4009999930858612,0.3167999982833862,0.1084000021219253,0.1366000026464462,0.169400006532669,0.2522000074386596,0.2694999873638153,0.4059999883174896,0.3407000005245209,0.1194000020623207,0.1459999978542328,0.1940000057220459,0.266400009393692,0.2765499949455261,0.4224500060081482,0.3515999913215637,0.0715999975800514,0.1037999987602233,0.1154000014066696,0.2854000031948089,0.3059000074863434,0.3339999914169311,0.2481999993324279,0.0261499993503093,0.0436999984085559,0.0270499996840953,0.3849000036716461,0.4010500013828277,0.1651500016450882,0.0772999972105026,0.0232999995350837,0.0461000017821788,0.0263999998569488,0.3425999879837036,0.3635999858379364,0.1606999933719635,0.0733999982476234
5382,0.1111999973654747,0.1351999938488006,0.1749999970197677,0.2416000068187713,0.2531000077724457,0.3984000086784363,0.3145000040531158,0.1096000000834465,0.1340000033378601,0.1669999957084655,0.24719999730587,0.2662000060081482,0.4036999940872192,0.3400000035762787,0.1152999997138977,0.1439000070095062,0.1879999935626983,0.2651000022888183,0.2764999866485595,0.4217000007629394,0.3504500091075897,0.0776000022888183,0.1081999987363815,0.1228000000119209,0.2757999897003174,0.30239999294281,0.3391000032424927,0.2572999894618988,0.0267999991774559,0.0446499995887279,0.0275999996811151,0.3772000074386596,0.3940500020980835,0.1658499985933303,0.0788000002503395,0.0240000002086162,0.0472000017762184,0.0285000000149011,0.3441999852657318,0.3564000129699707,0.1624999940395355,0.0753000006079673
5383,0.1089999973773956,0.1301999986171722,0.1710000038146972,0.2386000007390976,0.2449000030755996,0.3880000114440918,0.3124000132083893,0.1027999967336654,0.1296000033617019,0.1581999957561493,0.2486000061035156,0.2597000002861023,0.3912999927997589,0.3231000006198883,0.1142999976873397,0.1394000053405761,0.1856999993324279,0.2630999982357025,0.2729499936103821,0.4133000075817108,0.3433000147342682,0.0786999985575676,0.1059999987483024,0.1281999945640564,0.26460000872612,0.294400006532669,0.3393999934196472,0.262499988079071,0.0322000011801719,0.0487999990582466,0.0322499983012676,0.3637000024318695,0.3799000084400177,0.1719000041484832,0.0842500030994415,0.0234999991953372,0.0474000014364719,0.0269000008702278,0.3406000137329101,0.3517000079154968,0.164900004863739,0.0786999985575676
5384,0.1077999994158744,0.1335999965667724,0.1720000058412552,0.2404000014066696,0.2500999867916107,0.3894999921321869,0.3156999945640564,0.1037999987602233,0.1325999945402145,0.161200001835823,0.2445999979972839,0.2621999979019165,0.3955000042915344,0.3291000127792358,0.1118000000715255,0.1403000056743621,0.1859000027179718,0.2637999951839447,0.2747499942779541,0.4146000146865845,0.344650000333786,0.0788000002503395,0.1049999967217445,0.1255999952554702,0.2712000012397766,0.2992999851703644,0.3380999863147735,0.2581999897956848,0.0274500008672475,0.0456999987363815,0.031199999153614,0.366100013256073,0.3870500028133392,0.1669500023126602,0.0797000005841255,0.0269000008702278,0.0500999987125396,0.0285000000149011,0.3427999913692474,0.357699990272522,0.1643999963998794,0.0775000005960464
5385,0.1096000000834465,0.1356000006198883,0.1775999963283538,0.2440000027418136,0.2551000118255615,0.3980000019073486,0.3145999908447265,0.1067999973893165,0.1337999999523162,0.1653999984264373,0.2479999959468841,0.26910001039505,0.4056999981403351,0.3379000127315521,0.1159000024199485,0.1412999927997589,0.1851000040769577,0.2667999863624573,0.2786499857902527,0.4214499890804291,0.3490000069141388,0.0756999999284744,0.1048000007867813,0.1198000013828277,0.277999997138977,0.3050999939441681,0.3325999975204468,0.2467000037431717,0.0274500008672475,0.0440500006079673,0.0268500000238418,0.3815999925136566,0.399399995803833,0.1645999997854232,0.0759000033140182,0.0239000003784894,0.0478999987244606,0.0286999996751546,0.3459999859333038,0.3583999872207641,0.1608999967575073,0.0740000009536743
5386,0.1128000020980835,0.1335999965667724,0.1770000010728836,0.245399996638298,0.2551000118255615,0.3980000019073486,0.3145999908447265,0.1088000014424324,0.133200004696846,0.1689999997615814,0.2504000067710876,0.26910001039505,0.4056999981403351,0.3379000127315521,0.1154000014066696,0.1439000070095062,0.1896000057458877,0.2639000117778778,0.2786499857902527,0.4214499890804291,0.3490000069141388,0.0724999979138374,0.1030000001192092,0.1115999966859817,0.2858000099658966,0.3050999939441681,0.3325999975204468,0.2467000037431717,0.0255500003695487,0.0430000014603138,0.0260000005364418,0.3828999996185303,0.399399995803833,0.1645999997854232,0.0759000033140182,0.0239000003784894,0.045499999076128,0.0271000005304813,0.3440000116825104,0.3583999872207641,0.1608999967575073,0.0740000009536743
5387,0.1155999973416328,0.1361999958753585,0.1775999963283538,0.2492000013589859,0.2538000047206878,0.401199996471405,0.314300000667572,0.1154000014066696,0.1361999958753585,0.1764000058174133,0.2504000067710876,0.2703000009059906,0.4088999927043915,0.3413000106811523,0.1171000003814697,0.1480000019073486,0.1923999935388565,0.2676999866962433,0.2766500115394592,0.4248000085353851,0.3537499904632568,0.0756999999284744,0.1058000028133392,0.1177999973297119,0.2854000031948089,0.3131999969482422,0.3339999914169311,0.249099999666214,0.0272499993443489,0.0428000018000602,0.0266999993473291,0.3871000111103058,0.4036000072956085,0.1648499965667724,0.0768000036478042,0.0233999993652105,0.0465000011026859,0.0276999995112419,0.3495999872684479,0.359499990940094,0.1616999953985214,0.0740000009536743
5388,0.1165999993681907,0.1405999958515167,0.1832000017166137,0.2484000027179718,0.2587000131607055,0.3989000022411346,0.316100001335144,0.1142000034451484,0.1395999938249588,0.1720000058412552,0.2524000108242035,0.2698999941349029,0.4095999896526336,0.3379000127315521,0.1225999966263771,0.149399995803833,0.1955000013113021,0.2682999968528747,0.2798500061035156,0.4273000061511993,0.3523499965667724,0.0776999965310096,0.1088000014424324,0.1165999993681907,0.2861999869346618,0.3124000132083893,0.33160001039505,0.2458000034093856,0.0288999993354082,0.0428499989211559,0.0266999993473291,0.3822999894618988,0.397599995136261,0.163450002670288,0.0753000006079673,0.0241999998688697,0.0443000011146068,0.0267999991774559,0.3461999893188476,0.3623999953269958,0.1634999960660934,0.0754000023007392
