fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220907 203606	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	107	TRUE	0.0646330356874388	0.516654721041407	297	914	0.797598270277274	38
20220907 203654	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	773	TRUE	0.0100932358914177	0.200610188639166	167	87	0.7992814224668	39
20220907 203733	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	4663	TRUE	0.0100108735761166	0.867827728135624	1566	591	0.779897251755039	40
20220907 203809	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	852	TRUE	0.0100148821776595	0.343933163792135	269	589	0.799492024970013	41
20220907 203848	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2265	TRUE	0.0102190571689717	0.200434558052769	618	252	0.799178559906909	42
20220907 203850	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	53	TRUE	0.207847105532804	0.201651194563599	577	12	0.796093917481672	43
20220907 203852	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	33	TRUE	0.268193760187228	0.999163533296994	566	10	0.79053470766054	44
20220907 203854	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	89	TRUE	0.299856807422504	0.716902930603459	1328	11	0.788378670083107	45
20220907 203941	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	4675	TRUE	0.0100168926891171	0.202662821714523	1266	108	0.790356177872734	46
20220907 204012	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2095	TRUE	0.0103048703936167	0.200379719419748	817	770	0.795841397040255	47
20220907 204043	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1310	TRUE	0.0100239549126654	0.200485635241417	486	1021	0.798459480791137	48
20220907 204113	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	688	TRUE	0.0101500182523162	0.775576155095556	252	955	0.797342481534792	49
20220907 211520	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2759	TRUE	0.0100822755735099	0.200613898110677	0	905	0.787581080708645	50
